"","X","Name","JobID","YearofBirth","AttritionStatus","DistanceFromHome","JobLevel","WorkLifeBalance","PercentSalaryHike","HourlyRate","YearsWithCurrManager","MonthlyRate","JobSatisfaction","Over18","EnvironmentSatisfaction","YearsSinceLastPromotion","JobRole","EducationLevel","YearsAtCompany","Gender","Travel_For_Business","EducationField","MaritalStatus","PerformanceRating","MonthlyIncome","StandardHours","Age","TotalWorkingYears","EmployeeNumber","LastYearTrainingTime","RelationshipSatisfaction","EmployeeCount","OverTime","Department","YearsInCurrentRole","JobInvolvement","StockOptionLevel","NumCompaniesWorked","DailyRate"
"1",1,"Willis, Isaiah",1001,1975,"No",1,2,3,15,78,2,9364,"Disatisfied","Y",2,2,"Healthcare Representative",4,2,"Male","Travel_Rarely","Life Sciences","Married","High",5033,80,44,10,1909,5,4,1,"No","Research & Development",0,4,1,2,170
"2",2,"el-Amber, Furqaan",1002,1988,"No",5,2,3,19,51,2,20943,"Satisfied","Y",1,0,"Sales Executive",3,5,"Male","Travel_Rarely","Technical Degree","Married","High",8346,80,31,6,1746,3,3,1,"No","Sales",2,3,1,1,1003
"3",3,"Haley, Aundrea",1003,1987,"No",3,3,3,15,39,7,19373,"Very Satisfied","Y",3,7,"Research Director",2,7,"Female","Travel_Rarely","Life Sciences","Single","High",11159,80,32,10,724,6,4,1,"No","Research & Development",7,3,0,3,1018
"4",4,"Roodani, Rakshmai",1004,1979,"No",16,3,2,15,84,3,19948,"Very Satisfied","Y",3,3,"Manufacturing Director",3,4,"Female","Travel_Rarely","Life Sciences","Single","High",7945,80,40,18,1649,2,4,1,"Yes","Research & Development",2,3,0,6,448
"5",5,"Adame Saenz, Jorden",1005,1995,"No",1,2,2,12,45,2,14120,"Satisfied","Y",2,1,"Healthcare Representative",2,4,"Male","Travel_Rarely","Life Sciences","Single","High",4617,80,24,4,1984,2,2,1,"No","Research & Development",3,2,0,1,771
"6",6,"al-Pashia, Tammaam",1006,1971,"No",6,2,3,13,97,2,13119,"Satisfied","Y",1,2,"Healthcare Representative",3,2,"Male","Travel_Rarely","Life Sciences","Single","High",4240,80,48,19,1016,NA,4,1,"No","Research & Development",2,2,0,2,277
"7",7,"Jennings, Mylas",1007,1970,"No",18,5,3,17,58,9,2125,"Satisfied","Y",4,0,"Research Director",4,31,"Male","Travel_Rarely","Life Sciences","Divorced","High",19502,80,49,31,643,5,3,1,"Yes","Research & Development",9,2,1,1,1245
"8",8,"Maunu, Safawn",1008,1997,"Yes",8,1,3,17,79,0,15999,"Disatisfied","Y",3,0,"Laboratory Technician",1,1,"Female","Travel_Rarely","Medical","Married","High",2398,80,22,1,1788,6,3,1,"Yes","Research & Development",0,3,0,1,1294
"9",9,"Elliott, Jaymie",1009,1984,"Yes",25,1,2,19,96,8,16612,"OK","Y",4,7,"Research Scientist",4,10,"Female","Travel_Frequently","Life Sciences","Divorced","High",2022,80,35,10,888,3,1,1,"Yes","Research & Development",2,3,1,1,130
"10",10,"Morgan, Alexandra",1010,1988,"Yes",1,1,4,11,54,2,8319,"OK","Y",4,2,"Sales Representative",3,3,"Female","Travel_Frequently","Life Sciences","Single","High",2302,80,31,3,1332,2,1,1,"Yes","Sales",2,3,0,1,1060
"11",11,"Perez, Cadin",1011,1992,"No",9,2,3,14,44,7,5099,"Very Satisfied","Y",4,0,"Sales Executive",3,7,"Male","Travel_Rarely","Marketing","Single","High",4105,80,27,7,1968,5,1,1,"No","Sales",7,3,0,1,954
"12",12,"Whipple, Kimberly",1012,1988,"No",7,3,3,14,68,2,8277,"Disatisfied","Y",1,2,"Sales Executive",4,3,"Female","Travel_Frequently","Marketing","Married","High",9637,80,31,9,1838,3,4,1,"No","Sales",2,3,2,2,1125
"13",13,"Valdez, Adrian",1013,1997,"No",6,1,3,20,69,2,12145,"Satisfied","Y",1,2,"Research Scientist",1,2,"Male","Travel_Rarely","Medical","Married","Very High",2773,80,22,3,668,3,4,1,"No","Research & Development",2,3,0,0,604
"14",14,"Tran, Anh",1014,1983,"No",2,1,3,13,96,2,11868,"Satisfied","Y",4,2,"Research Scientist",3,2,"Female","Travel_Rarely","Life Sciences","Married","High",2543,80,36,6,504,3,2,1,"No","Research & Development",2,3,1,4,329
"15",15,"al-Huq, Humaid",1015,1989,"No",15,3,3,11,94,7,3088,"Disatisfied","Y",3,1,"Sales Executive",2,7,"Male","Travel_Rarely","Marketing","Divorced","High",7140,80,30,12,1756,2,1,1,"No","Sales",7,2,1,2,979
"16",16,"Trump, Lauren",1016,1965,"No",11,4,3,20,87,12,24456,"Very Satisfied","Y",2,1,"Manager",4,14,"Female","Travel_Frequently","Medical","Divorced","Very High",16032,80,54,26,1524,2,1,1,"No","Research & Development",9,3,1,3,1050
"17",17,"Dalrymple, Shane",1017,1986,"No",NA,1,3,18,79,13,13637,"OK","Y",2,2,"Laboratory Technician",3,14,"Male","Travel_Rarely","Medical","Married","High",2028,80,33,14,1697,6,4,1,"No","Research & Development",11,4,3,1,267
"18",18,"Eccher, Maxwell",1018,1987,"No",2,2,2,13,36,2,20497,"OK","Y",3,1,"Sales Executive",1,3,"Male","Travel_Rarely","Marketing","Married","High",4078,80,32,4,1395,3,1,1,"Yes","Sales",2,3,3,0,499
"19",19,"Babcock, Luke",1019,1988,"No",26,1,2,17,31,3,15170,"Satisfied","Y",1,4,"Research Scientist",1,5,"Male","Travel_Rarely","Life Sciences","Divorced","High",2911,80,31,5,10,1,4,1,"No","Research & Development",2,3,1,1,670
"20",20,"Thao, Jason",1020,1976,"No",2,2,3,20,92,7,19246,"Very Satisfied","Y",1,7,"Sales Executive",4,7,"Male","Travel_Frequently","Life Sciences","Married","Very High",5675,80,43,7,1842,5,3,1,"No","Sales",7,3,1,1,1422
"21",21,"Yoon, Hea",1021,1982,"Yes",11,2,1,15,61,0,14382,"OK","Y",1,0,"Healthcare Representative",2,1,"Female","Travel_Rarely","Medical","Married","High",4777,80,37,15,1039,2,1,1,"No","Research & Development",0,1,0,5,1141
"22",22,"Ong, Alicia",1022,1975,"No",2,3,3,19,96,7,14810,"Very Satisfied","Y",3,6,"Healthcare Representative",3,8,"Female","Travel_Rarely","Life Sciences","Married","High",7879,80,44,9,1706,2,2,1,"Yes","Research & Development",7,4,1,1,921
"23",23,"Rambo, Shayla",1023,1973,"No",1,3,3,25,92,7,2137,"Disatisfied","Y",2,15,"Sales Executive",2,24,"Female","Travel_Rarely","Marketing","Divorced","Very High",10453,80,46,24,251,2,3,1,"No","Sales",13,3,3,1,526
"24",24,"el-Mona, Jawhara",1024,1983,"No",5,1,4,14,82,0,13072,"Disatisfied","Y",2,0,"Research Scientist",4,1,"Female","Travel_Rarely","Life Sciences","Married","High",3419,80,36,6,55,3,4,1,"Yes","Research & Development",1,2,1,9,852
"25",25,"Sanchez, Dominik",1025,1982,"No",5,2,2,16,61,4,23177,"Very Satisfied","Y",4,0,"Manufacturing Director",2,6,"Male","Travel_Rarely","Medical","Divorced","High",6347,80,37,8,463,2,3,1,"No","Research & Development",2,3,2,7,1192
"26",26,"Tyler, Julianna",1026,1976,"No",1,2,2,13,33,2,21782,"Very Satisfied","Y",4,2,"Healthcare Representative",3,5,"Female","Travel_Frequently","Life Sciences","Married","High",5562,80,43,12,901,2,2,1,"No","Research & Development",2,3,1,4,422
"27",27,"Henderson, Trenton",1027,1982,"No",19,3,3,13,32,9,4814,"OK","Y",1,0,"Sales Executive",2,10,"Male","Non-Travel","Medical","Single","High",7642,80,37,10,897,2,4,1,"Yes","Sales",0,3,0,1,1252
"28",28,"al-Akbari, Aanisa",1028,1991,"No",9,1,3,18,77,2,9834,"Satisfied","Y",3,2,"Research Scientist",3,2,"Female","Travel_Rarely","Medical","Divorced","High",2377,80,28,6,928,2,2,1,"No","Research & Development",2,3,1,5,995
"29",29,"Schmalz, Connor",1029,1994,"No",1,1,2,11,81,2,4910,"Very Satisfied","Y",1,0,"Laboratory Technician",3,3,"Male","Travel_Rarely","Technical Degree","Married","High",3229,80,25,7,1412,2,2,1,"No","Research & Development",2,3,1,4,949
"30",30,"Johnson, Ryan",1030,1997,"No",1,1,4,12,63,2,17624,"Satisfied","Y",4,1,"Research Scientist",2,3,"Male","Travel_Rarely","Life Sciences","Single","High",3375,80,22,4,2010,2,4,1,"No","Research & Development",2,3,0,0,581
"31",31,"Dazzio, David",1031,1984,"No",1,2,3,11,85,9,18659,"Satisfied","Y",2,6,"Sales Executive",3,11,"Male","Travel_Rarely","Marketing","Married","High",4717,80,35,15,599,2,3,1,"No","Sales",9,3,0,9,619
"32",32,"Juarez, Robert",1032,1985,"No",22,2,3,15,86,11,26496,"Very Satisfied","Y",3,6,"Research Scientist",4,15,"Male","Travel_Frequently","Other","Married","High",5747,80,34,16,1928,3,2,1,"Yes","Research & Development",10,2,0,1,735
"33",33,"al-Sahli, Waheeda",1033,1984,"No",1,1,3,13,40,2,13301,"Satisfied","Y",4,2,"Research Scientist",4,2,"Female","Travel_Rarely","Life Sciences","Single","High",2506,80,35,7,824,NA,3,1,"No","Research & Development",2,4,0,3,1258
"34",34,"el-Hussain, Fahd",1034,1986,"No",8,2,1,13,46,2,10589,"Disatisfied","Y",1,2,"Sales Executive",4,2,"Male","Travel_Rarely","Life Sciences","Married","High",6392,80,33,8,1567,6,4,1,"No","Sales",2,3,1,2,1242
"35",35,"el-Bacho, Tawfeeqa",1035,1984,"No",7,2,3,11,55,9,13586,"Very Satisfied","Y",3,0,"Sales Executive",4,10,"Female","Travel_Rarely","Life Sciences","Married","High",5204,80,35,10,1964,2,4,1,"Yes","Sales",8,3,0,1,1224
"36",36,"al-Kazi, Zaahira",1036,1983,"No",1,3,3,21,77,7,4235,"Disatisfied","Y",3,7,"Manufacturing Director",3,7,"Female","Travel_Rarely","Technical Degree","Divorced","Very High",10252,80,36,17,1238,2,3,1,"Yes","Research & Development",7,1,1,2,363
"37",37,"Del Rosario, Brandon",1037,1984,"No",28,2,2,17,46,8,25348,"Satisfied","Y",2,6,"Laboratory Technician",3,10,"Male","Travel_Rarely","Life Sciences","Married","High",3407,80,35,10,1601,3,4,1,"No","Research & Development",9,4,2,1,750
"38",38,"Coggins, Kassie",1038,1986,"Yes",16,3,2,20,74,0,10092,"Disatisfied","Y",1,0,"Sales Executive",3,0,"Female","Travel_Rarely","Life Sciences","Single","Very High",8564,80,33,11,1759,2,3,1,"Yes","Sales",0,3,0,2,211
"39",39,"Kaufhold, Angela",1039,1979,"Yes",24,4,2,16,100,0,17071,"OK","Y",2,0,"Sales Executive",3,1,"Female","Non-Travel","Life Sciences","Single","High",13194,80,40,22,987,2,4,1,"Yes","Sales",0,4,0,4,1479
"40",40,"al-Rehmann, Naseeba",1040,1976,"No",4,3,4,14,56,17,20364,"Very Satisfied","Y",4,15,"Sales Executive",4,21,"Female","Travel_Rarely","Marketing","Single","High",10231,80,43,23,1286,3,4,1,"No","Sales",7,2,0,3,531
"41",41,"Nguyen, Kyoung Min",1041,1973,"No",2,2,2,11,60,4,17433,"Very Satisfied","Y",4,1,"Manufacturing Director",4,6,"Male","Travel_Rarely","Technical Degree","Divorced","High",7379,80,46,12,1229,3,3,1,"No","Research & Development",3,3,1,2,150
"42",42,"Charlie, Shenoa",1042,1973,"No",8,2,3,23,74,7,21029,"Disatisfied","Y",4,1,"Research Scientist",4,16,"Female","Travel_Rarely","Life Sciences","Divorced","Very High",4615,80,46,19,1078,2,1,1,"Yes","Research & Development",13,2,3,8,1003
"43",43,"Mick, Taylor",1043,1991,"No",NA,1,3,19,78,0,3692,"OK","Y",2,0,"Sales Representative",3,1,"Female","Travel_Rarely","Medical","Married","High",2856,80,28,1,1878,3,4,1,"No","Sales",0,3,1,1,1172
"44",44,"el-Ismael,  Sakeena",1044,1988,"No",20,2,2,13,45,0,24406,"Satisfied","Y",4,0,"Sales Executive",2,9,"Female","Non-Travel","Marketing","Married","High",6932,80,31,9,942,2,4,1,"No","Sales",8,3,1,1,1188
"45",45,"el-Salahuddin, Jaasim",1045,1981,"No",NA,2,2,15,45,2,4284,"Disatisfied","Y",1,1,"Healthcare Representative",3,4,"Male","Travel_Frequently","Life Sciences","Divorced","High",6288,80,38,13,833,3,3,1,"No","Research & Development",3,2,1,2,471
"46",46,"Garcia, Alexzandria",1046,1976,"Yes",9,2,2,13,85,3,9489,"Satisfied","Y",1,1,"Sales Executive",3,4,"Female","Travel_Rarely","Marketing","Single","High",5346,80,43,7,1189,2,2,1,"No","Sales",3,1,0,8,1372
"47",47,"al-Malak, Abdus Samad",1047,1993,"Yes",24,1,1,18,66,0,23213,"Very Satisfied","Y",3,0,"Laboratory Technician",3,1,"Male","Travel_Rarely","Technical Degree","Single","High",2340,80,26,1,619,3,2,1,"Yes","Research & Development",0,1,0,1,471
"48",48,"al-Rahman, Tahaani",1048,1977,"No",1,2,3,13,43,2,4051,"Very Satisfied","Y",4,0,"Manufacturing Director",2,4,"Female","Travel_Rarely","Life Sciences","Married","High",6062,80,42,8,831,4,4,1,"Yes","Research & Development",3,2,1,9,932
"49",49,"Sherrer, Mitchel",1049,1977,"No",12,1,2,22,57,4,8952,"OK","Y",2,0,"Laboratory Technician",3,5,"Male","Travel_Rarely","Medical","Divorced","Very High",2766,80,42,7,1767,6,2,1,"No","Research & Development",3,3,3,8,855
"50",50,"Valdez Munoz, Sebastian",1050,1990,"No",2,2,3,19,78,0,3687,"OK","Y",1,0,"Sales Executive",3,0,"Male","Travel_Rarely","Medical","Married","High",6644,80,29,10,365,2,2,1,"No","Sales",0,2,2,2,1210
"51",51,"Brown, Andrew",1051,1984,"No",1,1,3,19,68,2,21731,"Disatisfied","Y",4,1,"Laboratory Technician",3,3,"Male","Travel_Rarely","Medical","Single","High",2450,80,35,3,1572,3,2,1,"No","Research & Development",0,2,0,1,992
"52",52,"Montoya, Ian",1052,1982,"No",5,1,1,14,84,3,25470,"Satisfied","Y",3,1,"Laboratory Technician",2,6,"Male","Non-Travel","Technical Degree","Single","High",3500,80,37,7,1443,2,1,1,"No","Research & Development",5,4,0,0,1413
"53",53,"Kunugi, Gary",1053,1979,"Yes",7,1,1,14,73,3,3339,"Disatisfied","Y",1,0,"Laboratory Technician",3,4,"Male","Travel_Rarely","Life Sciences","Single","High",2166,80,40,10,1644,3,2,1,"Yes","Research & Development",2,3,0,3,1329
"54",54,"Avila, Devin",1054,1996,"Yes",7,1,3,21,99,2,25103,"Very Satisfied","Y",3,0,"Sales Representative",3,3,"Male","Travel_Rarely","Life Sciences","Divorced","Very High",2275,80,23,3,1696,2,2,1,"Yes","Sales",2,3,1,1,427
"55",55,"al-Bahri, Nawaar",1055,1980,"No",1,3,2,17,48,7,10942,"Very Satisfied","Y",3,3,"Healthcare Representative",3,18,"Male","Travel_Rarely","Medical","Divorced","High",9613,80,39,19,419,5,1,1,"No","Research & Development",10,4,3,0,1132
"56",56,"Sierra Miranda, Rikki",1056,1984,"No",8,2,3,12,52,9,12250,"Satisfied","Y",3,2,"Healthcare Representative",4,14,"Female","Non-Travel","Life Sciences","Married","High",4148,80,35,15,1632,5,4,1,"No","Research & Development",11,3,1,1,208
"57",57,"Mcchriston, Jasmine",1057,1967,"No",8,1,1,13,54,4,17363,"Disatisfied","Y",3,0,"Laboratory Technician",4,5,"Female","Travel_Rarely","Other","Married","High",2950,80,52,12,1404,2,3,1,"No","Research & Development",4,3,0,9,258
"58",58,"Evans-Carnes, Taylor",1058,1997,"Yes",3,2,4,19,34,2,10022,"Satisfied","Y",2,0,"Manufacturing Director",1,3,"Female","Travel_Rarely","Life Sciences","Married","High",4171,80,22,4,920,3,1,1,"Yes","Research & Development",2,3,1,0,617
"59",59,"Rhodes, Elanor",1059,1967,"Yes",2,5,3,15,57,9,25846,"Very Satisfied","Y",1,6,"Manager",1,32,"Female","Travel_Rarely","Marketing","Married","High",19845,80,52,33,1044,3,4,1,"No","Sales",14,1,1,1,266
"60",60,"al-Harroun, Mutlaq",1060,1969,"No",24,4,3,18,95,5,4161,"Satisfied","Y",4,1,"Manufacturing Director",3,12,"Male","Travel_Rarely","Life Sciences","Married","High",13973,80,50,22,1011,2,4,1,"Yes","Research & Development",11,3,1,3,939
"61",61,"Archuleta, Brandon",1061,1967,"No",2,5,4,18,79,12,21030,"Satisfied","Y",1,15,"Manager",4,33,"Male","Non-Travel","Life Sciences","Single","High",19068,80,52,33,330,2,4,1,"Yes","Sales",7,2,0,1,771
"62",62,"Westfall, Devon",1062,1992,"No",2,1,2,13,87,2,6297,"Very Satisfied","Y",4,1,"Research Scientist",3,4,"Male","Travel_Frequently","Medical","Single","High",2580,80,27,6,1654,NA,3,1,"No","Research & Development",2,3,0,2,591
"63",63,"Ornelas, Celeste",1063,1995,"No",3,2,2,21,33,2,17519,"Satisfied","Y",1,0,"Sales Executive",2,3,"Female","Travel_Rarely","Other","Married","Very High",4999,80,24,4,130,2,1,1,"No","Sales",2,3,1,0,1353
"64",64,"Martinez, Sage",1064,1990,"No",23,1,3,24,81,7,23779,"Satisfied","Y",3,0,"Research Scientist",2,10,"Male","Travel_Rarely","Life Sciences","Married","Very High",2700,80,29,10,818,3,3,1,"No","Research & Development",7,4,1,1,1252
"65",65,"Teasley, Rashaad",1065,1974,"No",1,3,3,12,66,7,20933,"OK","Y",1,7,"Healthcare Representative",4,10,"Male","Travel_Rarely","Technical Degree","Divorced","High",7441,80,45,10,1547,4,1,1,"No","Research & Development",8,3,3,1,538
"66",66,"Niemer, Brenden",1066,1988,"No",1,1,3,12,98,2,16193,"Disatisfied","Y",4,3,"Laboratory Technician",2,4,"Male","Travel_Rarely","Life Sciences","Married","High",2218,80,31,4,537,3,3,1,"No","Research & Development",2,2,1,1,329
"67",67,"el-Allam, Sadoon",1067,1990,"No",23,1,3,16,54,2,18168,"Very Satisfied","Y",4,1,"Research Scientist",3,3,"Male","Travel_Rarely","Life Sciences","Single","High",2201,80,29,6,503,4,4,1,"No","Research & Development",2,3,0,9,1283
"68",68,"Flack, Samuel",1068,1990,"Yes",13,1,3,15,56,0,3157,"Disatisfied","Y",1,2,"Human Resources",3,2,"Male","Travel_Rarely","Human Resources","Divorced","High",2335,80,29,4,1852,3,4,1,"Yes","Human Resources",2,2,3,4,350
"69",69,"Byun, Zachary",1069,1990,"No",2,2,4,19,87,3,24483,"Very Satisfied","Y",1,1,"Healthcare Representative",1,6,"Male","Travel_Frequently","Life Sciences","Divorced","High",8853,80,29,6,1596,NA,4,1,"No","Research & Development",4,3,1,1,995
"70",70,"al-Mourad, Wasmaaa",1070,1992,"No",4,1,3,19,76,0,17808,"Satisfied","Y",2,0,"Research Scientist",3,1,"Female","Travel_Rarely","Life Sciences","Single","High",2318,80,27,1,932,2,3,1,"No","Research & Development",1,3,0,1,618
"71",71,"Mendoza-Moreno, Gerardo",1071,1988,"No",1,1,3,17,87,0,18775,"OK","Y",3,1,"Research Scientist",4,1,"Male","Travel_Rarely","Medical","Single","High",2501,80,31,1,103,4,2,1,"No","Research & Development",1,3,0,1,1082
"72",72,"Mand, Michael",1072,1993,"No",29,2,3,12,45,0,4267,"Satisfied","Y",1,0,"Sales Executive",2,0,"Male","Travel_Rarely","Medical","Divorced","High",4306,80,26,8,614,5,1,1,"No","Sales",0,3,2,5,775
"73",73,"al-Habeeb, Hazm",1073,1994,"No",13,1,3,11,40,6,26376,"Satisfied","Y",2,0,"Sales Representative",1,7,"Male","Travel_Rarely","Medical","Married","High",2096,80,25,7,640,1,3,1,"No","Sales",4,3,0,1,622
"74",74,"Scott, Tyler",1074,1969,"No",4,5,2,14,96,6,15815,"OK","Y",1,1,"Research Director",1,10,"Male","Travel_Rarely","Life Sciences","Divorced","High",19144,80,50,28,382,4,1,1,"No","Research & Development",4,3,2,3,797
"75",75,"el-Radi, Jaarallah",1075,1996,"Yes",9,1,2,19,33,0,26956,"Disatisfied","Y",4,1,"Sales Representative",3,1,"Male","Travel_Frequently","Marketing","Married","High",1790,80,23,1,2024,3,1,1,"No","Sales",0,3,1,1,638
"76",76,"Jacquez, Brian",1076,1980,"No",9,2,2,15,70,3,8770,"OK","Y",3,0,"Laboratory Technician",3,5,"Male","Non-Travel","Life Sciences","Single","High",6782,80,39,9,1140,2,3,1,"No","Research & Development",4,3,0,9,439
"77",77,"Axalan, Rupinder",1077,1989,"No",25,2,4,12,85,2,6069,"Satisfied","Y",4,2,"Sales Executive",2,2,"Female","Non-Travel","Technical Degree","Married","High",4736,80,30,4,478,2,2,1,"Yes","Sales",2,3,1,7,641
"78",78,"Garramone, Shawn",1078,1983,"No",NA,2,3,11,48,2,13934,"OK","Y",2,0,"Manufacturing Director",2,3,"Male","Travel_Rarely","Medical","Divorced","High",8847,80,36,13,693,2,3,1,"Yes","Research & Development",2,2,1,2,913
"79",79,"Mendoza, Tami",1079,1967,"No",4,4,1,13,30,4,10310,"Very Satisfied","Y",4,1,"Manager",2,5,"Female","Travel_Rarely","Life Sciences","Married","High",16555,80,52,31,540,2,4,1,"No","Research & Development",2,3,0,2,1490
"80",80,"Woodyard, James",1080,1974,"No",29,1,2,13,83,3,9752,"Very Satisfied","Y",3,0,"Research Scientist",3,6,"Male","Travel_Rarely","Medical","Single","High",3452,80,45,9,184,2,2,1,"No","Research & Development",5,3,0,5,1316
"81",81,"al-Asmar, Jawhar",1081,1975,"No",20,1,2,13,49,3,21158,"OK","Y",4,1,"Research Scientist",3,5,"Male","Travel_Rarely","Life Sciences","Single","High",3420,80,44,6,1482,3,3,1,"No","Research & Development",2,3,0,1,1467
"82",82,"Langer, Thomas",1082,1990,"No",17,3,2,13,51,9,9769,"Disatisfied","Y",2,0,"Human Resources",3,10,"Male","Travel_Rarely","Other","Single","High",7988,80,29,10,1424,3,1,1,"No","Human Resources",9,2,0,1,332
"83",83,"Kalhorn, Johnny",1083,1975,"No",29,2,3,25,32,17,7744,"Very Satisfied","Y",4,13,"Research Scientist",4,20,"Male","Travel_Rarely","Other","Single","Very High",4541,80,44,20,1227,3,2,1,"No","Research & Development",11,3,0,1,200
"84",84,"Raberge, Madison",1084,1965,"No",2,3,3,11,41,0,8392,"Satisfied","Y",3,7,"Sales Executive",4,9,"Female","Travel_Rarely","Life Sciences","Married","High",10686,80,54,13,1068,4,2,1,"No","Sales",4,2,1,6,1082
"85",85,"Rodriguez, Christian",1085,1972,"No",4,2,3,19,99,0,25751,"Satisfied","Y",2,0,"Sales Representative",1,0,"Male","Travel_Frequently","Medical","Single","High",2976,80,47,5,462,3,1,1,"No","Sales",0,3,0,3,1309
"86",86,"Santee, Damion",1086,1998,"No",5,1,3,11,58,2,25479,"Disatisfied","Y",3,1,"Sales Representative",1,2,"Male","Travel_Rarely","Medical","Single","High",2380,80,21,2,2028,6,4,1,"Yes","Sales",2,3,0,1,501
"87",87,"Duran, Stephon",1087,1989,"No",7,1,3,14,57,2,18398,"OK","Y",4,1,"Sales Representative",1,3,"Male","Travel_Rarely","Marketing","Single","High",2983,80,30,4,587,3,1,1,"No","Sales",2,3,0,0,413
"88",88,"Kilpatrick, Erin",1088,1969,"No",12,3,3,11,77,1,6645,"Very Satisfied","Y",3,2,"Sales Executive",3,2,"Female","Travel_Frequently","Marketing","Single","High",9208,80,50,16,166,3,4,1,"No","Sales",2,3,0,4,809
"89",89,"Goodwin, Acie",1089,1984,"No",7,3,4,21,59,6,18869,"Satisfied","Y",3,1,"Manufacturing Director",3,8,"Male","Travel_Rarely","Other","Single","Very High",10221,80,35,17,844,3,2,1,"No","Research & Development",5,3,0,3,950
"90",90,"Blaze, Morgan",1090,1993,"No",28,2,4,20,66,4,7428,"OK","Y",1,1,"Sales Executive",2,5,"Male","Travel_Rarely","Marketing","Married","Very High",6272,80,26,6,644,5,4,1,"No","Sales",3,3,2,1,703
"91",91,"Darnell, Desirae",1091,1994,"No",1,1,2,18,40,1,18830,"OK","Y",4,2,"Research Scientist",3,2,"Female","Travel_Rarely","Medical","Single","High",2096,80,25,2,1306,3,4,1,"No","Research & Development",2,3,0,1,266
"92",92,"Trinh, Daniel",1092,1994,"Yes",19,1,3,18,36,0,18798,"OK","Y",3,0,"Sales Representative",2,1,"Male","Travel_Rarely","Marketing","Married","High",2413,80,25,1,954,2,3,1,"Yes","Sales",0,2,3,1,867
"93",93,"Hoshmand, Michael",1093,1983,"No",18,2,3,20,78,9,23238,"Very Satisfied","Y",1,0,"Manufacturing Director",4,11,"Male","Non-Travel","Life Sciences","Single","Very High",7779,80,36,18,1138,NA,1,1,"No","Research & Development",9,3,0,2,217
"94",94,"Stuart, Brandon",1094,1973,"No",2,5,3,17,46,2,14218,"Very Satisfied","Y",3,2,"Research Director",4,2,"Male","Travel_Rarely","Medical","Divorced","High",19328,80,46,24,1785,3,3,1,"Yes","Research & Development",1,3,1,7,734
"95",95,"House, Christopher",1095,1996,"Yes",8,1,3,11,93,2,20586,"Satisfied","Y",4,1,"Laboratory Technician",1,5,"Male","Travel_Rarely","Medical","Single","High",3989,80,23,5,1680,2,1,1,"Yes","Research & Development",4,2,0,1,1320
